Source,Date,Open,High,Low,Close,Volume,Month,Day,Year,DayOfWeek,MA_5,MA_20,EMA_5,EMA_20,STD_5,STD_20,DailyReturn,Volatility,PriceChange
bdo,2025-07-24,152.2,153.9,152.0,152.2,1307730,7,24,2025,3,,,152.2,152.2,,,,,0.0
bdo,2025-07-22,149.9,149.9,148.2,149.9,2438500,7,22,2025,1,,,151.43333333333334,151.98095238095237,,,-0.015111695137976278,,0.0
bdo,2025-07-21,150.9,151.0,148.9,151.0,1228600,7,21,2025,0,,,151.2888888888889,151.88752834467118,,,0.007338225483655814,,0.09999999999999432
bdo,2025-07-17,147.9,149.8,147.5,148.6,2047490,7,17,2025,3,,,150.39259259259262,151.57443040708344,,,-0.015894039735099397,,0.6999999999999886
bdo,2025-07-16,150.0,151.1,147.2,151.4,3485930,7,16,2025,2,150.62,,150.7283950617284,151.55781798736123,150.62,,0.018842530282638048,,1.4000000000000057
bdo,2025-07-14,152.0,153.0,151.0,150.8,1583070,7,14,2025,0,150.34,,150.7522633744856,151.48564484570778,150.34,,-0.003963011889035584,,-1.1999999999999886
bdo,2025-07-09,154.0,154.8,152.9,154.6,1714130,7,9,2025,2,151.28,,152.03484224965706,151.78225009849754,151.28,,0.025198938992042397,,0.5999999999999943
bdo,2025-07-07,155.0,156.4,153.1,155.0,890450,7,7,2025,0,152.07999999999998,,153.02322816643806,152.0887024700692,152.07999999999998,,0.002587322121604174,,0.0
bdo,2025-07-04,155.9,157.0,153.8,154.6,1873380,7,4,2025,4,153.28,,153.5488187776254,152.32787366339596,153.28,,-0.002580645161290307,,-1.3000000000000114
bdo,2025-07-03,150.2,155.3,150.2,150.0,2699850,7,3,2025,3,153.0,,152.3658791850836,152.1061714097392,153.0,,-0.02975420439844756,,-0.19999999999998863
bdo,2025-07-02,149.6,150.9,148.2,151.5,4764030,7,2,2025,2,153.14000000000001,,152.07725279005575,152.04844079928785,153.14000000000001,,0.010000000000000009,,1.9000000000000057
bdo,2025-07-01,153.2,154.0,150.7,152.8,3228740,7,1,2025,1,152.78,,152.31816852670386,152.12001786602235,152.78,,0.008580858085808662,,-0.39999999999997726
bdo,2025-06-30,155.4,156.0,152.8,156.0,3563990,6,30,2025,0,152.98,,153.54544568446926,152.48953997402023,152.98,,0.020942408376963373,,0.5999999999999943
bdo,2025-06-27,153.5,156.7,153.2,155.0,1976490,6,27,2025,4,153.06,,154.0302971229795,152.72863140506593,153.06,,-0.0064102564102563875,,1.5
bdo,2025-06-26,156.6,156.6,152.6,156.0,2654030,6,26,2025,3,154.26,,154.68686474865302,153.04019031886918,154.26,,0.006451612903225712,,-0.5999999999999943
